Entry(0): County: Abbeville County, State: South Carolina, Total Pop: 24788, Income: 35254, Poverty: 22.7
Entry(1): County: Acadia Parish, State: Louisiana, Total Pop: 62607, Income: 40492, Poverty: 21.5
Entry(2): County: Accomack County, State: Virginia, Total Pop: 32840, Income: 42260, Poverty: 19.8
Entry(3): County: Ada County, State: Idaho, Total Pop: 435117, Income: 60151, Poverty: 11.8
Entry(4): County: Adair County, State: Oklahoma, Total Pop: 22136, Income: 33366, Poverty: 30.8
Entry(5): County: Adair County, State: Kentucky, Total Pop: 19304, Income: 36575, Poverty: 21.5
Entry(6): County: Adair County, State: Missouri, Total Pop: 25437, Income: 38750, Poverty: 26.2
Entry(7): County: Adair County, State: Iowa, Total Pop: 7192, Income: 49477, Poverty: 9.5
Entry(8): County: Adams County, State: Illinois, Total Pop: 66787, Income: 48454, Poverty: 13.1
Entry(9): County: Adams County, State: Iowa, Total Pop: 3785, Income: 49745, Poverty: 11.2
Entry(10): County: Adams County, State: North Dakota, Total Pop: 2368, Income: 54700, Poverty: 9.2
Entry(11): County: Adams County, State: Mississippi, Total Pop: 31583, Income: 30359, Poverty: 34.2
Entry(12): County: Adams County, State: Idaho, Total Pop: 3946, Income: 42727, Poverty: 13.8
Entry(13): County: Adams County, State: Indiana, Total Pop: 35018, Income: 48290, Poverty: 18.9
Entry(14): County: Adams County, State: Wisconsin, Total Pop: 20111, Income: 44003, Poverty: 13.0
Entry(15): County: Adams County, State: Ohio, Total Pop: 27926, Income: 36320, Poverty: 23.8
Entry(16): County: Adams County, State: Washington, Total Pop: 19261, Income: 48131, Poverty: 23.1
Entry(17): County: Adams County, State: Colorado, Total Pop: 487850, Income: 64087, Poverty: 12.2
Entry(18): County: Adams County, State: Nebraska, Total Pop: 31564, Income: 51721, Poverty: 12.4
Entry(19): County: Adams County, State: Pennsylvania, Total Pop: 101589, Income: 62661, Poverty: 8.8
Entry(20): County: Addison County, State: Vermont, Total Pop: 36825, Income: 61875, Poverty: 7.8
Entry(21): County: Adjuntas Municipio, State: Puerto Rico, Total Pop: 18525, Income: 11680, Poverty: 64.1
Entry(22): County: Aguada Municipio, State: Puerto Rico, Total Pop: 39470, Income: 16199, Poverty: 52.2
Entry(23): County: Aguadilla Municipio, State: Puerto Rico, Total Pop: 55722, Income: 16821, Poverty: 51.6
Entry(24): County: Aguas Buenas Municipio, State: Puerto Rico, Total Pop: 26855, Income: 16733, Poverty: 48.3
Entry(25): County: Aibonito Municipio, State: Puerto Rico, Total Pop: 24008, Income: 18387, Poverty: 49.2
Entry(26): County: Aiken County, State: South Carolina, Total Pop: 165707, Income: 47713, Poverty: 16.7
Entry(27): County: Aitkin County, State: Minnesota, Total Pop: 15841, Income: 45860, Poverty: 12.1
Entry(28): County: Alachua County, State: Florida, Total Pop: 259865, Income: 45478, Poverty: 23.3
Entry(29): County: Alamance County, State: North Carolina, Total Pop: 157844, Income: 44281, Poverty: 17.6
Entry(30): County: Alameda County, State: California, Total Pop: 1629615, Income: 85743, Poverty: 11.3
Entry(31): County: Alamosa County, State: Colorado, Total Pop: 16345, Income: 36315, Poverty: 27.8
Entry(32): County: Albany County, State: New York, Total Pop: 308580, Income: 62293, Poverty: 12.4
Entry(33): County: Albany County, State: Wyoming, Total Pop: 37944, Income: 45816, Poverty: 23.0
Entry(34): County: Albemarle County, State: Virginia, Total Pop: 105105, Income: 72265, Poverty: 9.8
Entry(35): County: Alcona County, State: Michigan, Total Pop: 10413, Income: 39424, Poverty: 14.9
Entry(36): County: Alcorn County, State: Mississippi, Total Pop: 37242, Income: 38919, Poverty: 19.6
Entry(37): County: Aleutians East Borough, State: Alaska, Total Pop: 3338, Income: 66607, Poverty: 16.7
Entry(38): County: Aleutians West Census Area, State: Alaska, Total Pop: 5784, Income: 85192, Poverty: 7.5
Entry(39): County: Alexander County, State: Illinois, Total Pop: 6776, Income: 31014, Poverty: 33.4
Entry(40): County: Alexander County, State: North Carolina, Total Pop: 37159, Income: 44523, Poverty: 14.7
Entry(41): County: Alexandria city, State: Virginia, Total Pop: 154710, Income: 93370, Poverty: 10.5
Entry(42): County: Alfalfa County, State: Oklahoma, Total Pop: 5877, Income: 57432, Poverty: 11.2
Entry(43): County: Alger County, State: Michigan, Total Pop: 9254, Income: 42647, Poverty: 13.0
Entry(44): County: Allamakee County, State: Iowa, Total Pop: 13940, Income: 47895, Poverty: 11.4
Entry(45): County: Allegan County, State: Michigan, Total Pop: 114145, Income: 58487, Poverty: 10.8
Entry(46): County: Allegany County, State: Maryland, Total Pop: 72591, Income: 42771, Poverty: 16.8
Entry(47): County: Allegany County, State: New York, Total Pop: 47400, Income: 45359, Poverty: 16.5
Entry(48): County: Alleghany County, State: North Carolina, Total Pop: 10935, Income: 38944, Poverty: 21.0
Entry(49): County: Alleghany County, State: Virginia, Total Pop: 15489, Income: 46020, Poverty: 19.3
Entry(50): County: Allegheny County, State: Pennsylvania, Total Pop: 1229605, Income: 56333, Poverty: 12.5
Entry(51): County: Allen County, State: Indiana, Total Pop: 367747, Income: 51091, Poverty: 14.7
Entry(52): County: Allen County, State: Kansas, Total Pop: 12752, Income: 43031, Poverty: 14.2
