Entry(0): Income 11680, State: Puerto Rico, County: Adjuntas Municipio, Total Pop: 18525, Poverty: 64.1
Entry(1): Income 12653, State: Puerto Rico, County: Guánica Municipio, Total Pop: 17327, Poverty: 65.2
Entry(2): Income 12820, State: Puerto Rico, County: Lares Municipio, Total Pop: 27321, Poverty: 56.4
Entry(3): Income 13413, State: Puerto Rico, County: Moca Municipio, Total Pop: 37676, Poverty: 57.7
Entry(4): Income 13462, State: Puerto Rico, County: Maricao Municipio, Total Pop: 6180, Poverty: 65.0
Entry(5): Income 13523, State: Puerto Rico, County: Comerío Municipio, Total Pop: 19914, Poverty: 58.9
Entry(6): Income 13896, State: Puerto Rico, County: Lajas Municipio, Total Pop: 23893, Poverty: 60.6
Entry(7): Income 14275, State: Puerto Rico, County: San Sebastián Municipio, Total Pop: 38970, Poverty: 55.3
Entry(8): Income 14296, State: Puerto Rico, County: Orocovis Municipio, Total Pop: 21906, Poverty: 56.3
Entry(9): Income 14404, State: Puerto Rico, County: Las Marías Municipio, Total Pop: 8874, Poverty: 57.6
Entry(10): Income 14432, State: Puerto Rico, County: Ciales Municipio, Total Pop: 17325, Poverty: 58.2
Entry(11): Income 14451, State: Puerto Rico, County: Yauco Municipio, Total Pop: 37585, Poverty: 50.4
Entry(12): Income 14512, State: Puerto Rico, County: Patillas Municipio, Total Pop: 17769, Poverty: 57.3
Entry(13): Income 14642, State: Puerto Rico, County: Mayagüez Municipio, Total Pop: 79615, Poverty: 52.0
Entry(14): Income 14752, State: Puerto Rico, County: Corozal Municipio, Total Pop: 34933, Poverty: 55.2
Entry(15): Income 14988, State: Puerto Rico, County: Guayanilla Municipio, Total Pop: 19578, Poverty: 55.8
Entry(16): Income 15036, State: Puerto Rico, County: San Germán Municipio, Total Pop: 32937, Poverty: 51.8
Entry(17): Income 15296, State: Puerto Rico, County: Guayama Municipio, Total Pop: 42623, Poverty: 55.1
Entry(18): Income 15586, State: Puerto Rico, County: Yabucoa Municipio, Total Pop: 35025, Poverty: 52.4
Entry(19): Income 15615, State: Puerto Rico, County: Jayuya Municipio, Total Pop: 15297, Poverty: 60.3
Entry(20): Income 15689, State: Puerto Rico, County: Arroyo Municipio, Total Pop: 18504, Poverty: 56.7
Entry(21): Income 15694, State: Puerto Rico, County: Barranquitas Municipio, Total Pop: 29237, Poverty: 60.7
Entry(22): Income 15736, State: Puerto Rico, County: Sabana Grande Municipio, Total Pop: 23610, Poverty: 49.0
Entry(23): Income 15931, State: Puerto Rico, County: Utuado Municipio, Total Pop: 30209, Poverty: 53.0
Entry(24): Income 16082, State: Puerto Rico, County: Quebradillas Municipio, Total Pop: 24548, Poverty: 51.7
Entry(25): Income 16199, State: Puerto Rico, County: Aguada Municipio, Total Pop: 39470, Poverty: 52.2
Entry(26): Income 16246, State: Puerto Rico, County: Salinas Municipio, Total Pop: 29239, Poverty: 53.6
Entry(27): Income 16261, State: Puerto Rico, County: Vieques Municipio, Total Pop: 8931, Poverty: 36.8
Entry(28): Income 16333, State: Puerto Rico, County: Isabela Municipio, Total Pop: 43314, Poverty: 54.0
Entry(29): Income 16461, State: Puerto Rico, County: Cabo Rojo Municipio, Total Pop: 49726, Poverty: 52.5
Entry(30): Income 16561, State: Puerto Rico, County: Ponce Municipio, Total Pop: 148863, Poverty: 51.6
Entry(31): Income 16733, State: Puerto Rico, County: Aguas Buenas Municipio, Total Pop: 26855, Poverty: 48.3
Entry(32): Income 16816, State: Puerto Rico, County: Santa Isabel Municipio, Total Pop: 22475, Poverty: 49.1
Entry(33): Income 16821, State: Puerto Rico, County: Aguadilla Municipio, Total Pop: 55722, Poverty: 51.6
