Entry(0): Poverty: 2.4, State: Utah, County: Morgan County, Income: 86071, Total Pop: 11014
Entry(1): Poverty: 2.6, State: Nebraska, County: Wheeler County, Income: 49706, Total Pop: 846
Entry(2): Poverty: 2.8, State: Texas, County: Borden County, Income: 77708, Total Pop: 602
Entry(3): Poverty: 2.9, State: Virginia, County: Falls Church city, Income: 114795, Total Pop: 13843
Entry(4): Poverty: 3.0, State: South Dakota, County: Lincoln County, Income: 81849, Total Pop: 53147
Entry(5): Poverty: 3.1, State: North Dakota, County: Oliver County, Income: 71500, Total Pop: 1822
Entry(6): Poverty: 3.3, State: Texas, County: Roberts County, Income: 79167, Total Pop: 889
Entry(7): Poverty: 3.3, State: Colorado, County: San Juan County, Income: 46397, Total Pop: 569
Entry(8): Poverty: 3.3, State: South Dakota, County: Sully County, Income: 60694, Total Pop: 1390
Entry(9): Poverty: 3.5, State: Texas, County: King County, Income: 56964, Total Pop: 289
Entry(10): Poverty: 3.6, State: Colorado, County: Douglas County, Income: 111154, Total Pop: 320940
Entry(11): Poverty: 3.7, State: Virginia, County: Loudoun County, Income: 129588, Total Pop: 374558
Entry(12): Poverty: 3.8, State: North Dakota, County: Steele County, Income: 65437, Total Pop: 1915
Entry(13): Poverty: 4.0, State: Minnesota, County: Carver County, Income: 93095, Total Pop: 98799
Entry(14): Poverty: 4.0, State: Utah, County: Daggett County, Income: 85000, Total Pop: 702
Entry(15): Poverty: 4.3, State: Kansas, County: Scott County, Income: 62198, Total Pop: 4981
Entry(16): Poverty: 4.3, State: North Dakota, County: Sargent County, Income: 60824, Total Pop: 3883
Entry(17): Poverty: 4.4, State: Kansas, County: Wichita County, Income: 55109, Total Pop: 2157
Entry(18): Poverty: 4.5, State: New Jersey, County: Hunterdon County, Income: 110969, Total Pop: 125717
Entry(19): Poverty: 4.6, State: New Jersey, County: Morris County, Income: 107034, Total Pop: 498847
Entry(20): Poverty: 4.6, State: Montana, County: Daniels County, Income: 53591, Total Pop: 1788
