Entry(0): State: Alabama, Total Pop: 55036, County: Autauga County, Income: 55317, Poverty: 13.7
Entry(1): State: Alabama, Total Pop: 10478, County: Bullock County, Income: 29655, Poverty: 28.5
Entry(2): State: Alabama, Total Pop: 43805, County: Chilton County, Income: 43501, Poverty: 19.4
Entry(3): State: Alabama, Total Pop: 51073, County: Coffee County, Income: 49821, Poverty: 16.1
Entry(4): State: Alabama, Total Pop: 13866, County: Crenshaw County, Income: 38937, Poverty: 17.6
Entry(5): State: Alabama, Total Pop: 80989, County: Elmore County, Income: 54981, Poverty: 13.5
Entry(6): State: Alabama, Total Pop: 26572, County: Geneva County, Income: 39293, Poverty: 22.5
Entry(7): State: Alabama, Total Pop: 52326, County: Jackson County, Income: 39281, Poverty: 19.0
Entry(8): State: Alabama, Total Pop: 156597, County: Lee County, Income: 47564, Poverty: 22.0
Entry(9): State: Alabama, Total Pop: 19743, County: Marengo County, Income: 32255, Poverty: 25.6
Entry(10): State: Alabama, Total Pop: 227120, County: Montgomery County, Income: 46545, Poverty: 20.8
Entry(11): State: Alabama, Total Pop: 22530, County: Randolph County, Income: 39485, Poverty: 18.7
Entry(12): State: Alabama, Total Pop: 80888, County: Talladega County, Income: 39219, Poverty: 19.3
Entry(13): State: Alabama, Total Pop: 10919, County: Wilcox County, Income: 27012, Poverty: 31.9
Entry(14): State: Alabama, Total Pop: 203360, County: Baldwin County, Income: 52562, Poverty: 11.8
Entry(15): State: Alabama, Total Pop: 20126, County: Butler County, Income: 36326, Poverty: 24.4
Entry(16): State: Alabama, Total Pop: 13188, County: Choctaw County, Income: 32122, Poverty: 22.3
Entry(17): State: Alabama, Total Pop: 54435, County: Colbert County, Income: 45477, Poverty: 16.8
Entry(18): State: Alabama, Total Pop: 81703, County: Cullman County, Income: 40997, Poverty: 16.4
Entry(19): State: Alabama, Total Pop: 37621, County: Escambia County, Income: 35026, Poverty: 23.8
Entry(20): State: Alabama, Total Pop: 8533, County: Greene County, Income: 20954, Poverty: 38.8
Entry(21): State: Alabama, Total Pop: 659460, County: Jefferson County, Income: 49321, Poverty: 17.6
Entry(22): State: Alabama, Total Pop: 91695, County: Limestone County, Income: 52831, Poverty: 14.8
Entry(23): State: Alabama, Total Pop: 30058, County: Marion County, Income: 35719, Poverty: 17.6
Entry(24): State: Alabama, Total Pop: 119157, County: Morgan County, Income: 47529, Poverty: 16.6
Entry(25): State: Alabama, Total Pop: 58480, County: Russell County, Income: 38988, Poverty: 20.9
Entry(26): State: Alabama, Total Pop: 40756, County: Tallapoosa County, Income: 42181, Poverty: 21.2
Entry(27): State: Alabama, Total Pop: 23968, County: Winston County, Income: 35362, Poverty: 18.7
Entry(28): State: Alabama, Total Pop: 26201, County: Barbour County, Income: 33368, Poverty: 27.2
Entry(29): State: Alabama, Total Pop: 115527, County: Calhoun County, Income: 43686, Poverty: 18.6
Entry(30): State: Alabama, Total Pop: 24625, County: Clarke County, Income: 33827, Poverty: 25.3
Entry(31): State: Alabama, Total Pop: 12649, County: Conecuh County, Income: 30434, Poverty: 26.4
Entry(32): State: Alabama, Total Pop: 49393, County: Dale County, Income: 44711, Poverty: 19.6
Entry(33): State: Alabama, Total Pop: 103132, County: Etowah County, Income: 42064, Poverty: 17.9
Entry(34): State: Alabama, Total Pop: 14995, County: Hale County, Income: 34679, Poverty: 26.1
Entry(35): State: Alabama, Total Pop: 14021, County: Lamar County, Income: 36016, Poverty: 23.1
Entry(36): State: Alabama, Total Pop: 10362, County: Lowndes County, Income: 29785, Poverty: 30.2
Entry(37): State: Alabama, Total Pop: 94738, County: Marshall County, Income: 41104, Poverty: 21.0
Entry(38): State: Alabama, Total Pop: 9680, County: Perry County, Income: 22973, Poverty: 41.9
Entry(39): State: Alabama, Total Pop: 86937, County: St. Clair County, Income: 53483, Poverty: 13.7
