Entry(0): Total Pop: 74, State: Texas, County: Loving County, Income: 80938, Poverty: 17.1
Entry(1): Total Pop: 86, State: Hawaii, County: Kalawao County, Income: 61750, Poverty: 12.7
Entry(2): Total Pop: 289, State: Texas, County: King County, Income: 56964, Poverty: 3.5
Entry(3): Total Pop: 421, State: Nebraska, County: Arthur County, Income: 41250, Poverty: 10.9
Entry(4): Total Pop: 432, State: Nebraska, County: McPherson County, Income: 60714, Poverty: 16.0
Entry(5): Total Pop: 453, State: Montana, County: Petroleum County, Income: 46429, Poverty: 10.1
Entry(6): Total Pop: 502, State: Nebraska, County: Blaine County, Income: 52000, Poverty: 9.8
Entry(7): Total Pop: 537, State: Nebraska, County: Loup County, Income: 58625, Poverty: 8.9
Entry(8): Total Pop: 546, State: New Mexico, County: Harding County, Income: 35096, Poverty: 19.8
Entry(9): Total Pop: 564, State: Texas, County: Kenedy County, Income: 24800, Poverty: 24.8
Entry(10): Total Pop: 569, State: Colorado, County: San Juan County, Income: 46397, Poverty: 3.3
Entry(11): Total Pop: 600, State: Texas, County: McMullen County, Income: 71389, Poverty: 7.0
Entry(12): Total Pop: 602, State: Texas, County: Borden County, Income: 77708, Poverty: 2.8
Entry(13): Total Pop: 643, State: Nebraska, County: Thomas County, Income: 53173, Poverty: 12.4
Entry(14): Total Pop: 674, State: North Dakota, County: Slope County, Income: 61250, Poverty: 6.8
Entry(15): Total Pop: 680, State: Texas, County: Kent County, Income: 52250, Poverty: 17.9
Entry(16): Total Pop: 682, State: Alaska, County: Yakutat City and Borough, Income: 64583, Poverty: 6.2
Entry(17): Total Pop: 682, State: Nebraska, County: Grant County, Income: 45833, Poverty: 21.1
Entry(18): Total Pop: 684, State: Nebraska, County: Hooker County, Income: 41607, Poverty: 17.4
Entry(19): Total Pop: 702, State: Utah, County: Daggett County, Income: 85000, Poverty: 4.0
Entry(20): Total Pop: 720, State: Nebraska, County: Keya Paha County, Income: 48864, Poverty: 7.7
Entry(21): Total Pop: 721, State: Texas, County: Terrell County, Income: 26063, Poverty: 17.1
Entry(22): Total Pop: 728, State: Nebraska, County: Banner County, Income: 55000, Poverty: 8.9
Entry(23): Total Pop: 740, State: South Dakota, County: Jones County, Income: 39432, Poverty: 10.8
Entry(24): Total Pop: 747, State: Montana, County: Golden Valley County, Income: 43854, Poverty: 18.2
Entry(25): Total Pop: 790, State: Montana, County: Treasure County, Income: 42454, Poverty: 17.0
Entry(26): Total Pop: 820, State: Colorado, County: Hinsdale County, Income: 53056, Poverty: 12.0
Entry(27): Total Pop: 834, State: Colorado, County: Mineral County, Income: 50385, Poverty: 12.0
Entry(28): Total Pop: 846, State: Nebraska, County: Wheeler County, Income: 49706, Poverty: 2.6
Entry(29): Total Pop: 886, State: Idaho, County: Camas County, Income: 36667, Poverty: 22.3
Entry(30): Total Pop: 889, State: Texas, County: Roberts County, Income: 79167, Poverty: 3.3
Entry(31): Total Pop: 917, State: Alaska, County: Bristol Bay Borough, Income: 79500, Poverty: 7.1
Entry(32): Total Pop: 919, State: Nebraska, County: Logan County, Income: 50278, Poverty: 9.7
Entry(33): Total Pop: 957, State: Nebraska, County: Hayes County, Income: 44946, Poverty: 9.0
Entry(34): Total Pop: 983, State: North Dakota, County: Billings County, Income: 91518, Poverty: 10.3
Entry(35): Total Pop: 1038, State: Alaska, County: Skagway Municipality, Income: 70673, Poverty: 5.6
Entry(36): Total Pop: 1055, State: Idaho, County: Clark County, Income: 31927, Poverty: 24.2
Entry(37): Total Pop: 1084, State: Texas, County: Stonewall County, Income: 46786, Poverty: 13.9
Entry(38): Total Pop: 1086, State: Montana, County: Garfield County, Income: 47188, Poverty: 5.1
Entry(39): Total Pop: 1102, State: Nevada, County: Esmeralda County, Income: 39405, Poverty: 6.8
Entry(40): Total Pop: 1114, State: Texas, County: Motley County, Income: 40598, Poverty: 12.2
Entry(41): Total Pop: 1121, State: Montana, County: Wibaux County, Income: 47132, Poverty: 10.8
Entry(42): Total Pop: 1139, State: Texas, County: Sterling County, Income: 50000, Poverty: 17.0
Entry(43): Total Pop: 1203, State: California, County: Alpine County, Income: 63438, Poverty: 19.8
Entry(44): Total Pop: 1210, State: Kansas, County: Greeley County, Income: 47045, Poverty: 11.5
Entry(45): Total Pop: 1256, State: Nebraska, County: Sioux County, Income: 45375, Poverty: 12.4
Entry(46): Total Pop: 1281, State: South Dakota, County: Harding County, Income: 55972, Poverty: 12.9
Entry(47): Total Pop: 1296, State: Mississippi, County: Issaquena County, Income: 25609, Poverty: 40.3
Entry(48): Total Pop: 1301, State: Alaska, County: Lake and Peninsula Borough, Income: 45208, Poverty: 16.5
Entry(49): Total Pop: 1320, State: Montana, County: Carter County, Income: 45347, Poverty: 11.8
Entry(50): Total Pop: 1325, State: Montana, County: Prairie County, Income: 50850, Poverty: 10.1
Entry(51): Total Pop: 1368, State: Colorado, County: Kiowa County, Income: 39250, Poverty: 10.6
Entry(52): Total Pop: 1372, State: Colorado, County: Jackson County, Income: 45994, Poverty: 12.8
Entry(53): Total Pop: 1373, State: South Dakota, County: Hyde County, Income: 53696, Poverty: 14.2
Entry(54): Total Pop: 1381, State: Nebraska, County: Rock County, Income: 52361, Poverty: 9.7
Entry(55): Total Pop: 1390, State: South Dakota, County: Sully County, Income: 60694, Poverty: 3.3
Entry(56): Total Pop: 1403, State: North Dakota, County: Sheridan County, Income: 49750, Poverty: 15.4
Entry(57): Total Pop: 1414, State: Texas, County: Foard County, Income: 50000, Poverty: 5.7
Entry(58): Total Pop: 1415, State: Oregon, County: Wheeler County, Income: 33563, Poverty: 20.6
Entry(59): Total Pop: 1420, State: Texas, County: Glasscock County, Income: 64886, Poverty: 11.6
Entry(60): Total Pop: 1443, State: South Dakota, County: Campbell County, Income: 51548, Poverty: 4.7
Entry(61): Total Pop: 1494, State: Puerto Rico, County: Culebra Municipio, Income: 23355, Poverty: 41.8
Entry(62): Total Pop: 1498, State: Texas, County: Cottle County, Income: 33534, Poverty: 24.5
Entry(63): Total Pop: 1541, State: Texas, County: Throckmorton County, Income: 37279, Poverty: 17.1
Entry(64): Total Pop: 1591, State: Kansas, County: Wallace County, Income: 60000, Poverty: 10.6
Entry(65): Total Pop: 1591, State: Texas, County: Briscoe County, Income: 42500, Poverty: 13.9
Entry(66): Total Pop: 1592, State: Texas, County: Irion County, Income: 63021, Poverty: 13.5
Entry(67): Total Pop: 1610, State: Montana, County: Powder River County, Income: 51136, Poverty: 8.2
Entry(68): Total Pop: 1635, State: Oregon, County: Sherman County, Income: 42074, Poverty: 13.7
Entry(69): Total Pop: 1702, State: Kansas, County: Lane County, Income: 51765, Poverty: 10.7
Entry(70): Total Pop: 1728, State: Nevada, County: Eureka County, Income: 67159, Poverty: 10.0
Entry(71): Total Pop: 1728, State: Montana, County: McCone County, Income: 46193, Poverty: 7.7
Entry(72): Total Pop: 1736, State: Colorado, County: Dolores County, Income: 40352, Poverty: 14.1
Entry(73): Total Pop: 1741, State: Kansas, County: Comanche County, Income: 51563, Poverty: 8.1
Entry(74): Total Pop: 1788, State: Montana, County: Daniels County, Income: 53591, Poverty: 4.6
Entry(75): Total Pop: 1822, State: North Dakota, County: Oliver County, Income: 71500, Poverty: 3.1
Entry(76): Total Pop: 1844, State: Georgia, County: Taliaferro County, Income: 30500, Poverty: 31.0
Entry(77): Total Pop: 1860, State: Utah, County: Piute County, Income: 41750, Poverty: 12.9
